job_title,job_description,required_skills,experience,education,responsibilities,salary,benefits,quality_score,quality_label,issues,clean_description
Python Developer,We are looking for a Python Developer to build and maintain web applications and software systems.,"Python, Flask, SQL",2 years,BS Computer Science,"Develop web applications, maintain software systems, write clean code, and fix bugs",80000-120000,"Health insurance, annual bonus, paid leave",95,Good,,we are looking for a python developer to build and maintain web applications and software systems
Office Worker,We need a hardworking person for office work. Apply now.,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,30,Poor,"Skills, experience, education, responsibilities and salary missing",we need a hardworking person for office work apply now
Frontend Developer,We are hiring a Frontend Developer to create responsive websites using modern web technologies.,"HTML, CSS, JavaScript, React",2-3 years,BS Computer Science,"Develop responsive interfaces, improve website performance, collaborate with designers",90000-140000,"Health insurance, paid leave, flexible hours",94,Good,,we are hiring a frontend developer to create responsive websites using modern web technologies
Data Analyst,We need a Data Analyst to analyze business data and create reports for management.,"Python, SQL, Excel, Power BI",1-2 years,BS Computer Science or Data Science,"Analyze datasets, create dashboards, prepare reports, identify business trends",85000-130000,"Medical insurance, bonuses, training",92,Good,,we need a data analyst to analyze business data and create reports for management
Graphic Designer,Looking for a creative person who can make designs.,"Photoshop, Illustrator",Not specified,Not specified,Create graphics for company projects,50000-80000,Paid leave,58,Poor,"Experience and education missing, responsibilities limited, benefits incomplete",looking for a creative person who can make designs
Backend Developer,We are looking for a Backend Developer to develop secure APIs and server-side applications.,"Python, Django, REST API, PostgreSQL",2 years,BS Computer Science,"Develop APIs, manage databases, improve application security and troubleshoot backend issues",100000-160000,"Health insurance, paid leave, performance bonus",96,Good,,we are looking for a backend developer to develop secure apis and server side applications
Marketing Manager,We are seeking an experienced Marketing Manager to develop and execute digital marketing strategies.,"SEO, Google Ads, Analytics, Communication",3-5 years,Bachelors degree,"Plan marketing campaigns, analyze campaign performance, manage digital channels",100000-180000,"Health insurance, annual bonus, paid vacation",94,Good,,we are seeking an experienced marketing manager to develop and execute digital marketing strategies
Software Engineer,Hiring a software engineer. Must be hardworking.,Programming,Not specified,Not specified,Work on software projects,Not specified,Not specified,45,Poor,"Skills are vague, experience, education, salary and benefits missing",hiring a software engineer must be hardworking
HR Manager,"We are seeking an HR Manager to manage recruitment, employee relations, and HR operations.","Recruitment, HR Management, Communication",3 years,BS Business Administration or HR,"Manage recruitment, maintain employee records, handle employee concerns and support HR policies",90000-150000,"Medical insurance, paid leave, annual bonus",93,Good,,we are seeking an hr manager to manage recruitment employee relations and hr operations
Mobile App Developer,We are hiring a Mobile App Developer to design and develop Android applications.,"Java, Kotlin, Android Studio",2 years,BS Computer Science,"Develop Android applications, test features, fix bugs and maintain existing apps",90000-150000,"Health insurance, flexible hours, paid leave",91,Good,,we are hiring a mobile app developer to design and develop android applications
Sales Executive,We need a sales person who can communicate with customers and increase sales.,"Communication, Sales, CRM",1 year,Bachelors degree,"Contact customers, explain products, maintain customer relationships and achieve sales targets",60000-100000,"Commission, paid leave, bonuses",88,Good,,we need a sales person who can communicate with customers and increase sales
Customer Support Representative,"We are looking for a Customer Support Representative to assist customers through phone, email and chat.","Communication, CRM, Problem Solving",1 year,Bachelors degree,"Respond to customer queries, resolve complaints, document customer interactions",50000-85000,"Health insurance, paid leave, training",90,Good,,we are looking for a customer support representative to assist customers through phone email and chat
